female,education,age,dem
2,sc,69,0.492
2,sc,70,0.546
2,sc,71,0.558
2,sc,72,0.651
2,sc,73,0.735
2,sc,74,0.806
2,sc,75,0.863
2,sc,76,0.954
2,sc,77,1.012
2,sc,78,1.124
2,sc,79,1.198
2,sc,80,1.267
2,sc,81,1.407
2,sc,82,1.524
2,sc,83,1.55
2,sc,84,1.607
2,sc,85,1.662
2,sc,86,1.772
2,sc,87,1.69
2,sc,88,1.717
2,sc,89,1.778
2,sc,90,1.78
2,sc,91,1.609
2,sc,92,1.61
2,sc,93,1.503
2,sc,94,1.319
2,sc,95,1.18
2,sc,96,1.113
2,sc,97,0.92
2,sc,98,0.78
2,sc,99,0.629
2,sc,100,0.466
2,co,65,0.142
2,co,66,0.124
2,co,67,0.204
2,co,68,0.203
2,co,69,0.224
2,co,70,0.281
2,co,71,0.309
2,co,72,0.33
2,co,73,0.419
2,co,74,0.468
2,co,75,0.538
2,co,76,0.617
2,co,77,0.656
2,co,78,0.781
2,co,79,0.86
2,co,80,0.906
2,co,81,1.111
2,co,82,1.135
2,co,83,1.325
2,co,84,1.351
2,co,85,1.532
2,co,86,1.688
2,co,87,1.694
2,co,88,1.801
2,co,89,1.932
2,co,90,2.018
2,co,91,1.926
2,co,92,1.933
2,co,93,1.926
2,co,94,1.827
2,co,95,1.673
2,co,96,1.565
2,co,97,1.437
2,co,98,1.277
2,co,99,1.065
2,co,100,0.869
